chrX:99869200-99870600,ENSG00000000003.10$TSPAN6$chrX$99894988$-,0.56
chrX:99908600-99910800,ENSG00000000003.10$TSPAN6$chrX$99894988$-,0.38
chr20:49593600-49595200,ENSG00000000419.8$DPM1$chr20$49575092$-,0.46
chr1:169842200-169844600,ENSG00000000457.9$SCYL3$chr1$169863408$-,0.4
chr1:169876000-169877000,ENSG00000000457.9$SCYL3$chr1$169863408$-,0.43
chr1:196496800-196499200,ENSG00000000971.11$CFH$chr1$196621008$+,0.42
chr1:196503800-196504400,ENSG00000000971.11$CFH$chr1$196621008$+,0.53
chr1:196519400-196521000,ENSG00000000971.11$CFH$chr1$196621008$+,0.5
chr6:143879800-143880600,ENSG00000001036.9$FUCA2$chr6$143832827$-,0.44
chr6:41037000-41039200,ENSG00000001167.10$NFYA$chr6$41040684$+,0.5
chr1:24627200-24629600,ENSG00000001460.13$STPG1$chr1$24743424$-,0.39
chr1:24740000-24742200,ENSG00000001460.13$STPG1$chr1$24743424$-,0.51
chr1:24818000-24819200,ENSG00000001460.13$STPG1$chr1$24743424$-,0.58
chr1:24740000-24742200,ENSG00000001461.12$NIPAL3$chr1$24742284$+,0.47
chrX:64800800-64803200,ENSG00000001497.12$LAS1L$chrX$64754655$-,0.55
chr7:91883800-91886200,ENSG00000001629.5$ANKIB1$chr7$91875548$+,0.63
chr7:91888000-91890400,ENSG00000001629.5$ANKIB1$chr7$91875548$+,0.38
chr7:91883800-91886200,ENSG00000001631.10$KRIT1$chr7$91875480$-,0.51
chr12:1089800-1091800,ENSG00000002016.12$RAD52$chr12$1099219$-,0.63
chr12:1185600-1187600,ENSG00000002016.12$RAD52$chr12$1099219$-,0.57
chr12:1192000-1194200,ENSG00000002016.12$RAD52$chr12$1099219$-,0.35
chr4:17567000-17569400,ENSG00000002549.8$LAP3$chr4$17578815$+,0.49
chr7:120975200-120975800,ENSG00000002745.8$WNT16$chr7$120965421$+,0.43
chr7:120976000-120978400,ENSG00000002745.8$WNT16$chr7$120965421$+,0.48
chr7:43081800-43083600,ENSG00000002746.10$HECW1$chr7$43152198$+,0.37
chr7:43187200-43188600,ENSG00000002746.10$HECW1$chr7$43152198$+,0.39
chr7:43259600-43261000,ENSG00000002746.10$HECW1$chr7$43152198$+,0.36
chr17:36989600-36990400,ENSG00000002834.13$LASP1$chr17$37026112$+,0.36
chr16:89870600-89872800,ENSG00000003249.9$DBNDD1$chr16$90086536$-,0.36
chr2:202658000-202659400,ENSG00000003393.10$ALS2$chr2$202645912$-,0.48
chr2:188444400-188446600,ENSG00000003436.10$TFPI$chr2$188430487$-,0.46
chr2:37367000-37368800,ENSG00000003509.11$NDUFAF7$chr2$37458774$+,0.45
chr3:50137200-50139400,ENSG00000003756.12$RBM5$chr3$50126341$+,0.43
chr8:17307400-17309600,ENSG00000003989.12$SLC7A2$chr8$17354597$+,0.59
chr7:127218000-127220200,ENSG00000004059.6$ARF5$chr7$127228399$+,0.44
chr1:23301800-23303800,ENSG00000004487.11$KDM1A$chr1$23345941$+,0.46
chr3:49967600-49969800,ENSG00000004534.10$RBM6$chr3$49977440$+,0.39
chr3:49997200-49999000,ENSG00000004534.10$RBM6$chr3$49977440$+,0.35
chr12:21589200-21590400,ENSG00000004700.11$RECQL$chr12$21654603$-,0.39
